Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
1346,Jakub Kamiński,POL,"FW,DF",Wolfsburg,Bundesliga,20,2002,22.9,69,3.02,61,0,4,1,1,2,14,0.61,14,0,0,0,0,0,Matches
1347,Marcin Kamiński,POL,DF,Schalke 04,Bundesliga,30,1992,7.0,12,1.71,11,0,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches
1348,Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,31,1990,15.2,41,2.69,39,0,0,1,0,1,5,0.33,5,0,0,0,0,0,Matches
1349,Nordine Kandil,FRA,"MF,FW",Strasbourg,Ligue 1,20,2001,1.1,8,7.13,3,1,2,1,1,0,2,1.78,1,0,0,1,0,0,Matches
1350,Harry Kane,ENG,FW,Tottenham,Premier League,29,1993,37.8,131,3.46,89,2,13,12,12,3,18,0.48,10,0,2,3,3,0,Matches
1351,Lee Kang-in,KOR,"MF,FW",Mallorca,La Liga,21,2001,31.4,113,3.6,49,37,12,6,7,2,13,0.41,5,5,2,1,0,0,Matches
1352,Wilfried Kanga,CIV,FW,Hertha BSC,Bundesliga,24,1998,15.7,34,2.16,28,0,3,1,2,0,1,0.06,1,0,0,0,0,0,Matches
1353,N'Golo Kanté,FRA,MF,Chelsea,Premier League,31,1991,5.8,24,4.17,22,0,1,1,0,0,2,0.35,2,0,0,0,0,0,Matches
1354,Kenan Karaman,TUR,FW,Schalke 04,Bundesliga,28,1994,10.8,21,1.94,15,0,1,2,3,0,5,0.46,3,0,1,0,1,0,Matches
1355,Yann Karamoh,FRA,"MF,FW",Torino,Serie A,24,1998,8.0,22,2.77,17,0,3,1,1,0,3,0.38,1,0,2,0,0,0,Matches
1356,Atakan Karazor,GER,MF,Stuttgart,Bundesliga,25,1996,21.8,25,1.15,21,1,0,1,1,1,3,0.14,3,0,0,0,0,0,Matches
1357,Ayman Kari,FRA,"MF,DF",Lorient,Ligue 1,17,2004,1.1,7,6.56,5,0,1,0,1,0,1,0.94,1,0,0,0,0,0,Matches
1358,Jon Karrikaburu,ESP,FW,Real Sociedad,La Liga,19,2002,1.0,2,1.96,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1359,Rick Karsdorp,NED,DF,Roma,Serie A,27,1995,7.9,16,2.03,13,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1360,Denso Kasius,NED,DF,Bologna,Serie A,19,2002,3.8,15,3.94,13,0,2,0,0,0,2,0.52,2,0,0,0,0,0,Matches
1361,Thomas Kastanaras,GRE,"FW,DF",Stuttgart,Bundesliga,19,2003,0.8,2,2.5,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1362,Grigoris Kastanos,CYP,"MF,DF",Salernitana,Serie A,24,1998,14.3,36,2.52,25,7,1,1,2,0,5,0.35,1,2,0,1,1,0,Matches
1363,Silas Katompa,COD,"FW,MF",Stuttgart,Bundesliga,23,1998,22.1,62,2.8,35,0,13,10,4,0,6,0.27,3,0,2,0,1,0,Matches
1364,Moise Kean,ITA,FW,Juventus,Serie A,22,2000,11.1,31,2.8,21,0,4,5,0,1,2,0.18,2,0,0,0,0,0,Matches
1365,Michael Keane,ENG,DF,Everton,Premier League,29,1993,10.9,10,0.91,8,0,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches
1366,Neeskens Kebano,COD,FW,Fulham,Premier League,30,1992,8.5,24,2.83,16,2,0,2,3,1,5,0.59,4,0,0,1,0,0,Matches
1367,Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,18,2004,4.0,3,0.75,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1368,Thilo Kehrer,GER,DF,West Ham,Premier League,25,1996,24.8,24,0.97,17,4,0,3,0,0,4,0.16,2,1,0,1,0,0,Matches
1369,Check Keita,FRA,DF,Reims,Ligue 1,19,2003,7.6,6,0.79,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1370,Naby Keïta,GUI,MF,Liverpool,Premier League,27,1995,3.3,12,3.67,10,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
1371,Yannik Keitel,GER,MF,Freiburg,Bundesliga,22,2000,7.6,11,1.45,11,0,0,0,0,0,3,0.4,3,0,0,0,0,0,Matches
1372,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,23,1998,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1373,Lloyd Kelly,ENG,DF,Bournemouth,Premier League,23,1998,22.7,16,0.71,13,1,0,1,1,0,2,0.09,2,0,0,0,0,0,Matches
1374,Marc-Oliver Kempf,GER,DF,Hertha BSC,Bundesliga,27,1995,30.1,27,0.9,22,1,1,2,0,1,0,0.0,0,0,0,0,0,0,Matches
1375,Kenedy,BRA,"FW,DF",Valladolid,La Liga,26,1996,3.1,6,1.96,5,0,0,0,1,0,1,0.33,1,0,0,0,0,0,Matches
1376,Jonjoe Kenny,ENG,DF,Hertha BSC,Bundesliga,25,1997,24.9,44,1.76,34,5,0,2,1,2,3,0.12,2,0,0,0,1,0,Matches
1377,Franck Kessié,CIV,MF,Barcelona,La Liga,25,1996,11.0,21,1.91,15,0,2,4,0,0,2,0.18,1,0,0,1,0,0,Matches
1378,Saîf-Eddine Khaoui,TUN,MF,Clermont Foot,Ligue 1,27,1995,22.5,74,3.28,46,12,4,5,7,0,6,0.27,2,0,1,2,1,0,Matches
1379,Wahbi Khazri,TUN,"FW,MF",Montpellier,Ligue 1,31,1991,18.2,42,2.31,21,8,3,5,4,1,7,0.39,3,0,0,3,1,0,Matches
1380,Rani Khedira,GER,MF,Union Berlin,Bundesliga,28,1994,32.0,34,1.06,27,0,1,0,1,5,3,0.09,2,0,0,0,0,1,Matches
1381,Anthony Khelifa,FRA,DF,Ajaccio,Ligue 1,16,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1382,Kiké,ESP,FW,Osasuna,La Liga,32,1989,11.3,33,2.91,20,0,4,2,7,0,2,0.18,0,0,0,1,1,0,Matches
1383,Luca Kilian,GER,DF,Köln,Bundesliga,22,1999,12.5,10,0.8,10,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
1384,Max Kilman,ENG,DF,Wolves,Premier League,25,1997,36.7,23,0.63,20,0,0,2,1,0,2,0.05,1,0,0,1,0,0,Matches
1385,Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,27,1995,31.2,142,4.55,82,55,1,2,1,1,15,0.48,12,2,0,1,0,0,Matches
1386,Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,26,1995,8.1,2,0.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1387,Jakub Kiwior,POL,DF,Arsenal,Premier League,22,2000,4.7,1,0.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1388,Jakub Kiwior,POL,DF,Spezia,Serie A,22,2000,16.0,15,0.94,9,3,0,1,0,2,1,0.06,1,0,0,0,0,0,Matches
1389,Simon Kjær,DEN,DF,Milan,Serie A,33,1989,11.2,5,0.45,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1390,Pascal Klemens,GER,DF,Hertha BSC,Bundesliga,17,2005,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1391,Mateusz Klich,POL,"MF,FW",Leeds United,Premier League,32,1990,3.1,7,2.26,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1392,Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,26,1996,10.1,4,0.4,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1393,Justin Kluivert,NED,"FW,MF",Valencia,La Liga,23,1999,16.1,61,3.79,39,8,5,5,2,2,4,0.25,1,0,0,2,1,0,Matches
1394,Ansgar Knauff,GER,DF,Eint Frankfurt,Bundesliga,20,2002,14.3,24,1.68,18,0,1,0,5,0,4,0.28,2,0,0,0,2,0,Matches
1395,Robin Knoche,GER,DF,Union Berlin,Bundesliga,30,1992,31.9,23,0.72,18,2,0,3,0,0,4,0.13,3,0,0,1,0,0,Matches
1396,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,24,1997,27.0,4,0.15,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1397,Robin Koch,GER,DF,Leeds United,Premier League,26,1996,35.3,15,0.43,11,2,0,2,0,0,2,0.06,2,0,0,0,0,0,Matches
1398,Samuel Koeberlé,FRA,MF,Reims,Ligue 1,17,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1399,Rudy Kohon,FRA,DF,Troyes,Ligue 1,18,2004,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1400,Dominik Kohr,GER,MF,Mainz 05,Bundesliga,28,1994,25.5,54,2.12,42,0,2,6,4,0,4,0.16,2,0,0,1,1,0,Matches
1401,Koke,ESP,MF,Atlético Madrid,La Liga,30,1992,28.3,70,2.48,67,0,0,2,1,0,6,0.21,6,0,0,0,0,0,Matches
1402,Sead Kolašinac,BIH,DF,Marseille,Ligue 1,29,1993,24.6,27,1.1,24,0,1,2,0,0,5,0.2,2,0,1,2,0,0,Matches
1403,Luca Koleosho,ITA,"FW,DF",Espanyol,La Liga,17,2004,0.7,1,1.55,0,0,1,0,0,0,1,1.55,0,0,1,0,0,0,Matches
1404,Randal Kolo Muani,FRA,FW,Eint Frankfurt,Bundesliga,23,1998,29.2,105,3.59,60,0,20,12,13,0,22,0.75,13,0,4,2,3,0,Matches
1405,Timothée Kolodziejczak,FRA,DF,Schalke 04,Bundesliga,30,1991,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1406,Cheick Konaté,CIV,DF,Clermont Foot,Ligue 1,18,2004,6.4,7,1.1,3,1,2,0,1,0,1,0.16,1,0,0,0,0,0,Matches
1407,Ibrahima Konaté,FRA,DF,Liverpool,Premier League,23,1999,17.2,17,0.99,12,0,1,2,1,1,1,0.06,1,0,0,0,0,0,Matches
1408,Geoffrey Kondogbia,CTA,MF,Atlético Madrid,La Liga,29,1993,11.2,12,1.07,10,0,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches
1409,Ibrahima Koné,MLI,FW,Lorient,Ligue 1,23,1999,17.5,37,2.11,30,0,2,3,0,2,2,0.11,2,0,0,0,0,0,Matches
1410,Kouadio Koné,FRA,MF,M'Gladbach,Bundesliga,21,2001,29.0,61,2.1,44,0,5,3,6,3,5,0.17,5,0,0,0,0,0,Matches
1411,Youssouf Koné,MLI,DF,Ajaccio,Ligue 1,27,1995,10.2,6,0.59,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
1412,Ezri Konsa,ENG,DF,Aston Villa,Premier League,24,1997,36.9,15,0.41,13,0,0,1,1,0,2,0.05,2,0,0,0,0,0,Matches
1413,Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,1998,31.8,132,4.16,85,31,3,11,2,0,17,0.54,10,3,1,3,0,0,Matches
1414,Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,21,2001,16.9,16,0.95,14,1,0,0,0,1,3,0.18,3,0,0,0,0,0,Matches
1415,Filip Kostić,SRB,"DF,FW",Juventus,Serie A,29,1992,28.5,93,3.26,67,17,3,6,0,0,12,0.42,8,2,0,2,0,0,Matches
1416,Filip Kostić,SRB,"DF,MF",Eint Frankfurt,Bundesliga,29,1992,0.8,1,1.23,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1417,Christian Kouamé,CIV,FW,Fiorentina,Serie A,24,1997,20.7,83,4.01,67,0,4,5,7,0,8,0.39,6,0,1,1,0,0,Matches
1418,Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,25,1996,29.6,66,2.23,58,0,5,2,1,0,7,0.24,6,0,1,0,0,0,Matches
1419,Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,29,1992,11.0,4,0.36,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
1420,Kalidou Koulibaly,SEN,DF,Chelsea,Premier League,31,1991,20.0,21,1.05,17,0,0,2,0,2,3,0.15,3,0,0,0,0,0,Matches
1421,Jules Koundé,FRA,DF,Barcelona,La Liga,23,1998,27.0,41,1.52,39,1,0,1,0,0,7,0.26,7,0,0,0,0,0,Matches
1422,Boubakar Kouyaté,MLI,DF,Montpellier,Ligue 1,25,1997,14.0,11,0.79,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1423,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,Premier League,32,1989,9.8,10,1.02,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1424,Mateo Kovačić,CRO,MF,Chelsea,Premier League,28,1994,19.0,62,3.27,53,1,2,4,0,2,3,0.16,3,0,0,0,0,0,Matches
1425,Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,1996,6.1,12,1.97,10,1,0,0,1,0,1,0.16,0,0,0,0,1,0,Matches
1426,Soichiro Kozuki,JPN,"FW,MF",Schalke 04,Bundesliga,21,2000,4.2,10,2.37,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1427,Emil Krafth,SWE,DF,Newcastle Utd,Premier League,27,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1428,Alex Král,CZE,MF,Schalke 04,Bundesliga,24,1998,26.2,53,2.02,45,0,2,2,3,1,2,0.08,2,0,0,0,0,0,Matches
1429,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,Bundesliga,31,1991,26.5,89,3.35,71,3,3,7,5,0,12,0.45,9,0,0,2,1,0,Matches
1430,Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,31,1991,24.7,39,1.58,34,0,2,1,2,0,2,0.08,2,0,0,0,0,0,Matches
1431,Tom Krauß,GER,MF,Schalke 04,Bundesliga,21,2001,27.9,44,1.58,37,0,3,1,2,1,4,0.14,3,0,0,0,1,0,Matches
1432,Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25,1997,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1433,Raimonds Krollis,LVA,"FW,DF",Spezia,Serie A,20,2001,0.4,1,2.57,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
1434,Toni Kroos,GER,MF,Real Madrid,La Liga,32,1990,23.9,103,4.3,64,33,0,3,2,1,6,0.25,5,1,0,0,0,0,Matches
1435,Rade Krunić,BIH,MF,Milan,Serie A,28,1993,18.4,41,2.23,35,1,0,2,2,1,6,0.33,6,0,0,0,0,0,Matches
1436,Max Kruse,GER,"MF,FW",Wolfsburg,Bundesliga,34,1988,3.0,10,3.31,8,0,1,1,0,0,1,0.33,1,0,0,0,0,0,Matches
1437,Lukas Kübler,GER,DF,Freiburg,Bundesliga,29,1992,18.2,18,0.99,13,4,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
1438,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,La Liga,21,2001,27.1,96,3.55,63,10,7,5,10,1,11,0.41,6,0,2,0,2,1,Matches
1439,Dejan Kulusevski,SWE,"MF,FW",Tottenham,Premier League,22,2000,23.0,97,4.22,71,5,15,5,0,1,11,0.48,9,1,1,0,0,0,Matches
1440,Sael Kumbedi,FRA,DF,Lyon,Ligue 1,17,2005,14.7,24,1.64,20,1,1,1,0,1,5,0.34,4,1,0,0,0,0,Matches
1441,Marash Kumbulla,ALB,DF,Roma,Serie A,22,2000,2.9,2,0.69,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1442,Pierre Kunde,CMR,"MF,FW",Bochum,Bundesliga,27,1995,4.2,7,1.67,5,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
1443,Alou Kuol,AUS,FW,Stuttgart,Bundesliga,21,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1444,Layvin Kurzawa,FRA,DF,Fulham,Premier League,29,1992,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1445,Khvicha Kvaratskhelia,GEO,FW,Napoli,Serie A,21,2001,28.0,136,4.86,90,3,20,13,8,2,24,0.86,10,1,3,6,4,0,Matches
1446,Grejohn Kyei,FRA,FW,Clermont Foot,Ligue 1,26,1995,24.8,53,2.14,32,0,8,7,4,2,10,0.4,5,0,2,1,1,1,Matches
1447,Daniel Kyereh,GHA,"MF,FW",Freiburg,Bundesliga,26,1996,6.2,10,1.6,9,0,0,0,1,0,1,0.16,1,0,0,0,0,0,Matches
1448,Giorgos Kyriakopoulos,GRE,"DF,FW",Bologna,Serie A,26,1996,7.8,20,2.56,13,4,1,1,1,0,3,0.38,2,1,0,0,0,0,Matches
1449,Giorgos Kyriakopoulos,GRE,"FW,DF",Sassuolo,Serie A,26,1996,8.5,26,3.05,21,0,2,1,1,1,3,0.35,2,0,0,1,0,0,Matches
1450,César de la Hoz,ESP,MF,Almería,La Liga,30,1992,18.6,18,0.97,15,0,2,1,0,0,2,0.11,1,0,1,0,0,0,Matches
1451,Luca de la Torre,USA,MF,Celta Vigo,La Liga,24,1998,16.5,35,2.12,31,0,1,1,2,0,5,0.3,4,0,0,1,0,0,Matches
1452,Rémy Labeau Lascary,GLP,"FW,MF",Lens,Ligue 1,19,2003,1.4,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1453,Gaëtan Laborde,FRA,FW,Nice,Ligue 1,28,1994,27.8,76,2.73,56,8,6,6,0,0,12,0.43,6,0,4,2,0,0,Matches
1454,Gaëtan Laborde,FRA,FW,Rennes,Ligue 1,28,1994,2.8,10,3.61,6,0,1,3,0,0,1,0.36,0,0,0,1,0,0,Matches
1455,Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,31,1991,32.5,113,3.47,78,2,10,8,13,2,11,0.34,8,0,0,0,3,0,Matches
1456,Qazim Laçi,ALB,MF,Ajaccio,Ligue 1,26,1996,2.4,10,4.25,4,4,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
1457,Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,22,2000,18.1,13,0.72,12,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1458,Alban Lafont,FRA,GK,Nantes,Ligue 1,23,1999,37.0,7,0.19,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1459,Aïssa Laïdouni,TUN,MF,Union Berlin,Bundesliga,25,1996,9.7,20,2.07,9,0,1,2,8,0,3,0.31,0,0,0,0,3,0,Matches
1460,Konrad Laimer,AUT,MF,RB Leipzig,Bundesliga,25,1997,16.3,41,2.52,34,0,2,1,1,3,5,0.31,4,0,0,0,0,1,Matches
1461,Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,29,1992,9.1,13,1.43,11,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
1462,Kenny Lala,FRA,DF,Brest,Ligue 1,30,1991,15.7,40,2.54,20,16,1,1,2,0,3,0.19,3,0,0,0,0,0,Matches
1463,Adam Lallana,ENG,"MF,FW",Brighton,Premier League,34,1988,8.0,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
1464,Vassilis Lambropoulos,GRE,DF,Bochum,Bundesliga,32,1990,7.0,5,0.72,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1465,Érik Lamela,ARG,"FW,MF",Sevilla,La Liga,30,1992,20.5,74,3.61,50,6,5,8,5,0,6,0.29,2,0,2,1,1,0,Matches
1466,Mohamed Lamine Bayo,GUI,"FW,MF",Lille,Ligue 1,24,1998,7.2,26,3.6,13,0,5,5,2,1,3,0.42,1,0,1,1,0,0,Matches
1467,Sam Lammers,NED,FW,Sampdoria,Serie A,25,1997,12.2,28,2.3,23,0,2,2,0,1,1,0.08,1,0,0,0,0,0,Matches
1468,Sam Lammers,NED,FW,Empoli,Serie A,25,1997,9.8,25,2.55,18,1,3,1,2,0,1,0.1,1,0,0,0,0,0,Matches
1469,Tariq Lamptey,GHA,DF,Brighton,Premier League,21,2000,5.0,14,2.78,12,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
1470,Manuel Lanzini,ARG,"MF,FW",West Ham,Premier League,29,1993,2.8,4,1.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1471,Aymeric Laporte,ESP,DF,Manchester City,Premier League,28,1994,11.0,17,1.54,16,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1472,Julien Laporte,FRA,DF,Lorient,Ligue 1,28,1993,18.4,9,0.49,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1473,Cyle Larin,CAN,FW,Valladolid,La Liga,27,1995,16.3,33,2.02,21,0,5,5,2,0,7,0.43,5,0,1,1,0,0,Matches
1474,Juan Larios,ESP,DF,Southampton,Premier League,18,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0,Matches
1475,Yasser Larouci,FRA,"DF,MF",Troyes,Ligue 1,21,2001,20.0,35,1.75,23,1,3,2,5,1,1,0.05,1,0,0,0,0,0,Matches
1476,Jordan Larsson,SWE,"FW,MF",Schalke 04,Bundesliga,25,1997,5.1,11,2.13,9,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1477,Kevin Lasagna,ITA,"FW,MF",Hellas Verona,Serie A,29,1992,17.5,39,2.23,25,0,5,4,3,2,3,0.17,1,0,1,1,0,0,Matches
1478,Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,28,1993,2.4,1,0.41,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1479,Juanmi Latasa,ESP,FW,Getafe,La Liga,21,2001,5.0,12,2.41,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1480,Toni Lato,ESP,"DF,MF",Valencia,La Liga,24,1997,10.2,28,2.76,20,5,1,0,1,1,3,0.3,1,0,1,0,1,0,Matches
1481,Danny Latza,GER,MF,Schalke 04,Bundesliga,32,1989,9.5,15,1.58,6,4,0,3,2,0,0,0.0,0,0,0,0,0,0,Matches
1482,Armand Lauriente,FRA,FW,Sassuolo,Serie A,23,1998,24.2,113,4.68,78,10,15,3,4,3,12,0.5,7,0,2,1,2,0,Matches
1483,Armand Lauriente,FRA,FW,Lorient,Ligue 1,23,1998,3.0,19,6.43,13,0,2,2,2,0,2,0.68,1,0,0,0,1,0,Matches
1484,Roméo Lavia,BEL,MF,Southampton,Premier League,18,2004,24.7,41,1.66,31,2,3,1,3,1,3,0.12,1,0,0,0,1,1,Matches
1485,Lázaro,BRA,"FW,MF",Almería,La Liga,20,2002,8.0,23,2.89,15,1,2,2,3,0,2,0.25,2,0,0,0,0,0,Matches
1486,Valentino Lazaro,AUT,DF,Torino,Serie A,26,1996,15.3,51,3.34,33,14,2,2,0,0,4,0.26,3,1,0,0,0,0,Matches
1487,Marko Lazetić,SRB,FW,Milan,Serie A,18,2004,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1488,Darko Lazović,SRB,"MF,DF",Hellas Verona,Serie A,31,1990,24.9,67,2.69,46,11,5,2,0,3,5,0.2,3,2,0,0,0,0,Matches
1489,Manuel Lazzari,ITA,DF,Lazio,Serie A,28,1993,20.9,29,1.39,24,1,1,0,2,1,4,0.19,4,0,0,0,0,0,Matches
1490,Théo Le Bris,FRA,"MF,DF",Lorient,Ligue 1,19,2002,16.1,25,1.55,21,1,2,1,0,0,6,0.37,4,0,2,0,0,0,Matches
1491,Julien Le Cardinal,FRA,DF,Lens,Ligue 1,24,1997,1.8,7,3.82,4,1,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
1492,Jérémy Le Douaron,FRA,"MF,FW",Brest,Ligue 1,24,1998,23.0,46,2.0,26,0,2,9,6,3,6,0.26,3,0,0,3,0,0,Matches
1493,Enzo Le Fée,FRA,MF,Lorient,Ligue 1,22,2000,33.6,120,3.57,79,27,5,4,4,1,11,0.33,5,5,0,1,0,0,Matches
1494,Vincent Le Goff,FRA,DF,Lorient,Ligue 1,32,1989,37.0,38,1.03,32,3,1,1,0,1,2,0.05,2,0,0,0,0,0,Matches
1495,Maxime Le Marchand,FRA,DF,Strasbourg,Ligue 1,32,1989,22.4,19,0.85,13,1,2,0,1,2,3,0.13,1,0,0,0,1,1,Matches
1496,Robin Le Normand,ESP,DF,Real Sociedad,La Liga,25,1996,31.1,15,0.48,13,0,0,2,0,0,1,0.03,1,0,0,0,0,0,Matches
1497,Rafael Leão,POR,"FW,MF",Milan,Serie A,23,1999,26.9,123,4.57,80,3,24,8,8,0,18,0.67,12,1,4,0,1,0,Matches
1498,Paolo Lebas,POR,MF,Ajaccio,Ligue 1,19,2003,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1499,Jean-Louis Leca,FRA,GK,Lens,Ligue 1,36,1985,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1500,Benjamin Lecomte,FRA,GK,Espanyol,La Liga,31,1991,10.0,2,0.2,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1501,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,31,1991,19.0,5,0.26,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
1502,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,29,1993,34.0,10,0.29,6,3,0,0,1,0,1,0.03,0,0,0,0,1,0,Matches
1503,Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,29,1993,30.7,56,1.82,42,2,2,6,1,3,7,0.23,5,0,0,1,0,1,Matches
1504,Diogo Leite,POR,DF,Union Berlin,Bundesliga,23,1999,25.0,20,0.8,15,0,0,1,3,1,4,0.16,3,0,0,0,1,0,Matches
1505,Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,24,1998,7.4,5,0.68,5,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
1506,Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,31,1991,28.5,20,0.7,17,0,1,2,0,0,1,0.04,0,0,0,1,0,0,Matches
1507,Iñigo Lekue,ESP,DF,Athletic Club,La Liga,29,1993,14.7,30,2.04,24,4,1,0,1,0,3,0.2,2,1,0,0,0,0,Matches
1508,Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,26,1995,13.9,45,3.23,33,5,3,1,1,2,7,0.5,4,0,1,1,0,1,Matches
1509,Félix Lemaréchal,FRA,MF,Brest,Ligue 1,18,2003,3.2,12,3.75,10,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1510,Dexter Lembikisa,JAM,DF,Wolves,Premier League,18,2003,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
1511,Mario Lemina,GAB,MF,Wolves,Premier League,28,1993,14.4,8,0.55,6,0,0,0,0,2,2,0.14,1,0,0,0,0,1,Matches
1512,Mario Lemina,GAB,"MF,DF",Nice,Ligue 1,28,1993,9.3,12,1.29,11,0,0,0,0,1,1,0.11,1,0,0,0,0,0,Matches
1513,Tim Lemperle,GER,"FW,MF",Köln,Bundesliga,20,2002,1.5,7,4.81,4,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
1514,Clément Lenglet,FRA,DF,Tottenham,Premier League,27,1995,22.4,23,1.03,20,1,0,0,1,1,5,0.22,5,0,0,0,0,0,Matches
1515,Bernd Leno,GER,GK,Fulham,Premier League,30,1992,36.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
