Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2,Matches
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2,Matches
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,Matches
47,Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Matches
48,Ludovic Ajorque,FRA,"FW,MF",Mainz 05,Bundesliga,28,1994,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7,Matches
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4,Matches
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0,Matches
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3,Matches
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,Matches
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0,Matches
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2,Matches
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1,Matches
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9,Matches
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9,Matches
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0.0,Matches
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0,Matches
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7,Matches
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8,Matches
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1,Matches
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3,Matches
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,Matches
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8,Matches
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6,Matches
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8,Matches
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3,Matches
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5,Matches
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Matches
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3,Matches
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6,Matches
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0,Matches
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0,Matches
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.2,Matches
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7,Matches
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4,Matches
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6,Matches
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5,Matches
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2,Matches
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2,Matches
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,3,0,0,5,0,0,2,3,4,0,0,0,18,4,1,80.0,Matches
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,Matches
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0,Matches
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8,Matches
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0,Matches
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5,Matches
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,Matches
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.7,Matches
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7,Matches
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.6,Matches
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7,Matches
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,Matches
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3,Matches
97,Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0,Matches
98,Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,23.2,10,1,1,24,16,0,5,25,33,0,1,0,121,68,43,61.3,Matches
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.1,Matches
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4,Matches
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8,Matches
103,Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0,Matches
104,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9,Matches
105,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8,Matches
106,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0,Matches
107,Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,12,0,0,57,39,1,14,47,74,1,0,0,278,91,61,59.9,Matches
108,Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,2,1,0,9,12,1,1,0,1,0,0,0,9,10,15,40.0,Matches
109,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3,Matches
110,Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.6,Matches
111,Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,2,0,0,12,29,7,179,25,24,0,0,0,148,15,27,35.7,Matches
112,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0,Matches
113,Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5,Matches
114,Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7,Matches
115,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,4,0,0,31,31,1,31,38,27,0,0,0,231,55,50,52.4,Matches
116,Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0,Matches
117,José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,0.0,Matches
118,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0,Matches
119,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2,Matches
120,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,5,0,0,15,25,2,32,11,9,0,0,0,99,5,19,20.8,Matches
121,Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.3,Matches
122,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,2,0,0,24,40,15,63,5,15,1,0,0,109,16,45,26.2,Matches
123,Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6,Matches
124,Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,2,0,0,7,5,0,6,8,5,0,0,0,35,6,4,60.0,Matches
125,Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0,Matches
126,Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0,Matches
127,Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,0,0,0,0,2,0,2,1,1,0,0,0,5,1,3,25.0,Matches
128,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6,Matches
129,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2,Matches
130,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0,Matches
131,Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0.0,Matches
132,Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0,Matches
133,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,Matches
134,Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0,Matches
135,Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.1,Matches
136,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.2,Matches
137,Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.9,Matches
138,Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5,Matches
139,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,5,0,0,33,64,0,154,26,31,0,0,1,225,30,30,50.0,Matches
140,Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,Matches
141,Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.0,Matches
142,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7,Matches
143,Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,Matches
144,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.7,Matches
145,Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0,Matches
146,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0,Matches
147,Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0,Matches
148,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19.0,1,0,0,10,24,7,28,8,9,0,0,0,82,19,28,40.4,Matches
149,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3,Matches
150,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0.0,Matches
151,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0,Matches
152,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,3,0,0,20,7,1,19,11,3,0,1,0,45,21,19,52.5,Matches
153,Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,0,0,0,2,3,2,3,3,0,0,0,0,4,6,7,46.2,Matches
154,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,2,0,0,5,7,0,21,6,5,0,0,0,37,0,4,0.0,Matches
155,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8,Matches
156,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,3,0,0,4,4,0,4,2,2,0,0,0,19,8,4,66.7,Matches
157,Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,1,0,0,9,15,3,40,14,22,0,0,0,51,9,7,56.3,Matches
158,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,0,0,0,7,8,2,1,0,3,0,0,0,10,3,0,100.0,Matches
159,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33,1989,6.2,1,0,0,5,1,0,3,2,0,0,0,0,11,3,11,21.4,Matches
160,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
161,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0,Matches
162,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34.0,3,0,0,14,26,1,170,17,14,0,1,0,183,38,32,54.3,Matches
163,Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0,Matches
164,Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28,1994,1.5,0,0,0,1,1,0,6,1,1,0,0,0,13,4,1,80.0,Matches
165,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,2,0,0,18,19,0,40,29,41,0,0,0,126,46,32,59.0,Matches
166,Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,0,0,0,7,4,2,65,12,10,0,0,0,73,5,13,27.8,Matches
167,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.2,Matches
168,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.7,Matches
169,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,2,0,0,24,19,15,3,4,10,0,0,0,56,20,61,24.7,Matches
170,Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,0,0,0,0,3,0,0,0,2,0,0,0,3,0,1,0.0,Matches
171,Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,0,0,0,6,6,0,23,10,18,0,0,0,49,13,17,43.3,Matches
172,André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,1,0,0,3,8,1,1,0,3,0,0,0,9,14,22,38.9,Matches
173,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,5,0,0,48,90,4,43,15,41,0,0,0,166,50,92,35.2,Matches
174,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,1,0,0,4,8,0,0,5,4,0,0,0,28,2,7,22.2,Matches
175,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,3,0,0,15,35,1,62,26,37,0,1,0,152,47,57,45.2,Matches
176,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
177,Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,1,0,0,17,1,8,0,2,3,1,0,0,33,22,46,32.4,Matches
178,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17.0,3,0,0,27,7,2,26,19,25,0,0,1,59,29,19,60.4,Matches
179,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
180,Iddrisu Baba,GHA,"MF,DF",Mallorca,La Liga,26,1996,18.9,5,0,0,31,30,0,0,11,17,0,0,0,122,37,28,56.9,Matches
181,Srđan Babić,SRB,DF,Almería,La Liga,26,1996,33.3,5,0,0,24,9,2,2,29,18,0,0,0,136,71,46,60.7,Matches
182,Loïc Bade,FRA,DF,Sevilla,La Liga,22,2000,16.1,4,0,0,13,4,0,4,23,20,0,0,0,97,34,27,55.7,Matches
183,Loïc Bade,FRA,DF,Rennes,Ligue 1,22,2000,1.0,1,0,0,3,1,0,0,1,1,0,0,0,4,2,2,50.0,Matches
184,Édgar Badía,ESP,GK,Elche,La Liga,30,1992,36.0,2,0,0,1,6,0,0,0,0,0,1,0,33,8,1,88.9,Matches
185,Benoît Badiashile,FRA,DF,Chelsea,Premier League,21,2001,10.1,2,0,0,9,6,0,2,16,8,0,0,0,76,35,14,71.4,Matches
186,Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,2001,9.3,3,0,0,10,4,0,0,17,8,0,0,0,67,21,7,75.0,Matches
187,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,21,2001,21.6,13,1,1,58,56,3,26,7,17,1,1,0,100,1,26,3.7,Matches
188,Jaime Báez,URU,DF,Cremonese,Serie A,27,1995,1.1,0,0,0,1,1,1,9,0,2,0,0,0,5,1,0,100.0,Matches
189,Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,24,1997,21.9,4,0,0,29,22,9,96,6,6,0,1,0,72,24,46,34.3,Matches
190,Eric Bailly,CIV,DF,Marseille,Ligue 1,28,1994,6.0,1,0,0,10,5,0,0,12,10,0,0,0,42,15,15,50.0,Matches
191,Dénys Bain,FRA,DF,Auxerre,Ligue 1,29,1993,1.4,0,0,0,2,1,0,0,2,3,0,0,0,5,3,1,75.0,Matches
192,Brandon Baiye,BEL,MF,Clermont Foot,Ligue 1,21,2000,0.6,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0,Matches
193,Stefan Bajcetic,ESP,MF,Liverpool,Premier League,17,2004,5.8,2,0,0,7,9,0,5,9,6,0,0,0,40,9,5,64.3,Matches
194,Nedim Bajrami,ALB,"MF,FW",Empoli,Serie A,23,1999,10.4,1,0,0,6,6,3,35,7,4,0,0,0,49,2,7,22.2,Matches
195,Nedim Bajrami,ALB,"FW,MF",Sassuolo,Serie A,23,1999,9.1,0,0,0,6,9,6,57,7,7,0,0,0,44,2,4,33.3,Matches
196,Cédric Bakambu,COD,MF,Marseille,Ligue 1,31,1991,0.7,0,0,0,2,1,0,1,0,1,0,0,0,5,4,3,57.1,Matches
197,Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,1994,0.5,0,0,0,3,1,0,0,0,5,0,0,0,6,1,1,50.0,Matches
198,Mitchel Bakker,NED,"DF,MF",Leverkusen,Bundesliga,22,2000,18.4,6,1,1,18,14,2,26,15,8,0,0,0,114,12,13,48.0,Matches
199,Ridle Baku,GER,"DF,FW",Wolfsburg,Bundesliga,24,1998,28.7,6,0,0,27,32,4,70,21,26,0,0,0,156,22,31,41.5,Matches
200,Tommaso Baldanzi,ITA,MF,Empoli,Serie A,19,2003,19.7,2,0,0,12,37,1,21,2,12,0,0,0,69,3,9,25.0,Matches
201,Alejandro Balde,ESP,DF,Barcelona,La Liga,18,2003,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4,Matches
202,Thierno Balde,FRA,"DF,MF",Troyes,Ligue 1,20,2002,23.9,1,0,0,8,34,2,37,23,14,1,0,0,143,7,20,25.9,Matches
203,Carlos Baleba,CMR,MF,Lille,Ligue 1,18,2004,5.3,3,1,0,13,18,0,1,1,11,2,0,0,38,7,8,46.7,Matches
204,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,1988,1.3,0,0,0,3,0,0,3,1,4,0,0,0,6,0,0,0.0,Matches
205,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,23,1999,29.3,9,1,0,53,21,0,6,63,37,0,1,1,204,70,41,63.1,Matches
206,Dominic Ballard,ENG,"FW,MF",Southampton,Premier League,17,2005,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,20.0,Matches
207,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,30,1992,35.9,6,0,0,42,34,7,105,25,29,0,2,2,145,29,37,43.9,Matches
208,Fodé Ballo-Touré,SEN,DF,Milan,Serie A,25,1997,5.8,0,0,0,5,13,0,17,2,9,0,0,0,33,13,5,72.2,Matches
209,Folarin Balogun,USA,FW,Reims,Ligue 1,21,2001,33.3,5,0,0,38,54,29,23,3,5,3,0,0,86,14,57,19.7,Matches
210,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,1990,15.2,2,0,0,10,13,4,19,18,12,0,0,0,68,17,14,54.8,Matches
211,Jonathan Bamba,CIV,FW,Lille,Ligue 1,26,1996,30.9,6,0,0,33,59,12,79,22,17,0,1,0,200,20,35,36.4,Matches
212,Patrick Bamford,ENG,FW,Leeds United,Premier League,28,1993,16.8,3,0,0,25,27,18,5,5,6,0,0,0,50,36,42,46.2,Matches
213,Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,21,2001,18.2,6,0,0,31,37,11,51,8,20,0,0,0,82,7,32,17.9,Matches
214,Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,1995,25.1,10,0,0,53,37,0,91,18,34,0,1,0,138,10,19,34.5,Matches
215,Léo Baptistão,BRA,"FW,MF",Almería,La Liga,29,1992,19.2,7,0,0,30,23,10,18,19,20,0,0,0,104,27,40,40.3,Matches
216,Shandon Baptiste,GRN,MF,Brentford,Premier League,24,1998,6.9,3,1,1,11,12,1,11,7,9,0,0,0,45,6,7,46.2,Matches
217,Antonín Barák,CZE,MF,Hellas Verona,Serie A,27,1994,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.0,Matches
218,Antonín Barák,CZE,MF,Fiorentina,Serie A,27,1994,20.0,4,0,0,13,17,3,14,3,9,0,1,0,76,18,31,36.7,Matches
219,Andrea Barberis,ITA,MF,Monza,Serie A,28,1993,3.8,0,0,0,1,2,0,4,8,2,0,0,0,16,2,2,50.0,Matches
220,Tommaso Barbieri,ITA,DF,Juventus,Serie A,19,2002,1.2,0,0,0,5,4,0,7,0,3,0,0,0,2,0,2,0.0,Matches
